"","ano_mes","julgamentos"
"1",2020-01-01,68
"2",2020-02-01,116
"3",2020-03-01,122
"4",2020-04-01,80
"5",2020-05-01,75
"6",2020-06-01,99
"7",2020-07-01,103
"8",2020-08-01,145
"9",2020-09-01,197
"10",2020-10-01,147
"11",2020-11-01,149
"12",2020-12-01,104
"13",2021-01-01,83
"14",2021-02-01,160
"15",2021-03-01,159
"16",2021-04-01,119
"17",2021-05-01,151
"18",2021-06-01,146
"19",2021-07-01,132
"20",2021-08-01,157
"21",2021-09-01,175
"22",2021-10-01,109
"23",2021-11-01,134
"24",2021-12-01,94
"25",2022-01-01,66
"26",2022-02-01,117
"27",2022-03-01,162
"28",2022-04-01,113
"29",2022-05-01,130
"30",2022-06-01,136
"31",2022-07-01,124
"32",2022-08-01,178
"33",2022-09-01,152
"34",2022-10-01,121
"35",2022-11-01,139
"36",2022-12-01,80
