"","processo","digital","situacao","cd_processo","v1","area","assunto","classe","distribuicao","orgao_julgador","origem","outros_numeros","processo_principal","recurso","relator","revisor","secao","ultima_carga","valor_da_acao","volume_apenso"
"1","00000037520158260374",FALSE,"Encerrado","RI006V3KO0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de Morro Agudo / Foro de Morro Agudo / Vara Única","
                            
                            
                                    16/2015
                            
                        ",NA,NA,"VITO GUGLIELMI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 05/07/2022
                            Destino: Foro / Fórum de Morro Agudo.Recebimento: 05/07/2022 
                        ","36.200,00","2 / 0"
"2","00000171820118260045",FALSE,"Encerrado","RI006IO580000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de Arujá / Foro de Arujá / 2ª Vara","
                            
                            
                                    4/2011
                            
                        ",NA,NA,"ALCIDES LEOPOLDO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 4ª Câmara de Direito Privado.Remessa: 22/02/2022
                            Destino: Foro / Fórum de Arujá.Recebimento: 22/02/2022 
                        ","100.000,00","2 / 0"
"3","00000322320068260219",FALSE,"Encerrado","RI000FBEB0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de Guararema / Foro de Guararema / Vara Única","
                            
                                
                                        990.10.139699-8
                                
                                
                                    18/2006
                            
                        ",NA,NA,"PIVA RODRIGUES","GALDINO TOLEDO JÚNIOR"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 26/02/2013
                            Destino: Foro / Fórum de Guararema.Recebimento: 26/02/2013 
                        ","38.000,00","4 / 2"
"4","00000322320068260219",FALSE,"Encerrado","RI005B79Q0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de Guararema / Foro de Guararema / Vara Única","
                            
                            
                                    18/2006
                            
                        ",NA,NA,"PIVA RODRIGUES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 02/12/2020
                            Destino: Foro / Fórum de Guararema.Recebimento: 02/12/2020 
                        ","300.000,00","6 / 2"
"5","00000788020158260062",FALSE,NA,"RI0065G2B0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","00000788020158260062",FALSE,NA,"RI0065G2B0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","00000979620058260366",FALSE,"Encerrado","RI004VC7S0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de Mongaguá / Foro de Mongaguá / 1ª Vara","
                            
                            
                                    366.01.2005.000097, 1150-2005, 0000097-96.2005.8.26.0366
                            
                        ",NA,NA,"BENEDITO ANTONIO OKUNO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 21/05/2021
                            Destino: Foro / Fórum de Mongaguá.Recebimento: 21/05/2021 
                        ","182.000,00","2 / 1"
"8","00001001420138260223",FALSE,"Encerrado","RI00525GC0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de Guarujá / Foro de Guarujá / 3ª Vara Cível","
                            
                            
                                    22/2013
                            
                        ",NA,NA,"VIVIANI NICOLAU",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Remessa: 07/01/2021
                            Destino: Foro / Fórum de Guarujá.Recebimento: 07/01/2021 
                        ","676.235,71","2 / 0"
"9","00001418120138260222",FALSE,"Encerrado","RI0059AQ00000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de Guariba / Foro de Guariba / 2° Vara","
                            
                            
                                    117/2013
                            
                        ",NA,NA,"PEDRO DE ALCÂNTARA DA SILVA LEME FILHO","SILVÉRIO DA SILVA"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 18/01/2021
                            Destino: Foro / Fórum de Guariba.Recebimento: 18/01/2021 
                        ","50.000,00","3 / 0"
"10","00001759020128260125",FALSE,"Encerrado","RI0050RBC0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de Capivari / Foro de Capivari / 1ª Vara Cível","
                            
                            
                                    40/2012
                            
                        ",NA,NA,"ANGELA LOPES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 10/12/2020
                            Destino: Foro / Fórum de Capivari.Recebimento: 10/12/2020 
                        ","15.375,09","3 / 2"
